категория|question|answer
любой пользователь|"Почему вылезла такая ошибка ""Упс, неправильная ссылка»?"|Видео, к которому вы пытаетесь получить доступ, в настоящее время недоступно, так как канал, на котором оно было опубликовано, был удален.
любой пользователь|"Почему вылезла такая ошибка ""Автор удалил это видео""?"|К сожалению, видео удалено автором и больше не доступно для просмотра.
любой пользователь|Почему видео недоступно?|Это означает, что видео могло быть удалено пользователем или модерацией платформы.
любой пользователь|Почему такого видео нет?|Это означает, что видео, которое ранее было приватным, удалено. Удаление мог произвести пользователь или модерация платформы.
любой пользователь|"Появилась надпись ""Видео на модерации"""|Данное видео находится на проверке. Если оно соответствует правилам RUTUBE (https://rutube.ru/info/agreement/), доступ будет восстановлен в ближайшее время. Благодарим за понимание!
для зрителя|"При просмотре видео появилась надпись ""Видео еще не опубликовано. Доступ к нему откроется позже"""|Видео еще не опубликовано. Автор запланировал его выход на более поздний срок. Вы сможете посмотреть его, как только оно станет доступным. Спасибо за ожидание!
для автора|Почему я не могу посмотреть свое загруженное видео, выскакивает надпись Видео еще не опубликовано. Доступ к нему откроется позже?|"Это сообщение появляется, если вы загрузили ролик и установили дату и время его публикации на более поздний срок. Чтобы опубликовать видео раньше, измените настройки в Студии RUTUBE:
* Перейдите в раздел ""Видео"": https://studio.rutube.ru/videos
* Найдите нужный ролик и откройте его настройки.
* В пункте ""Время публикации"" измените дату и время выхода или нажмите на крестик, чтобы опубликовать видео сразу.)"
любой пользователь|"Появилась надпись ""Автор скрыл это видео"""|Видео скрыто автором и недоступно для общего просмотра. Его могут видеть только те, кому автор предоставил приватную ссылку.
для зрителя|"При просмотре ролика появилась надпись ""Данное видео временно недоступно. Приносим вам свои извинения"""|Во время воспроизведения видео произошла ошибка. Мы передали информацию нашим специалистам. Пожалуйста, попробуйте посмотреть видео позже.
для автора|"Что нужно сделать, чтобы мое видео снова стало доступно? (появилась ошибка ""Данное видео временно недоступно. Приносим вам свои извинения"")"|Прошу вас прислать нам исходный файл ролика для проверки и устранения проблемы. Мы постараемся ее оперативно исправить.
любой пользователь|"Появилась надпись ""Оформить за ... ₽""/""Оформить подписку"""|"Для просмотра этого видео необходима подписка. Оформите её, нажав кнопку ""Оформить подписку"". Управление подписками доступно в вашем профиле в разделе ""Подписки"" → ""Больше подписок"": https://rutube.ru/profile/purchases/"
для зрителя|"При просмотре появилась надпись ""Видео 18+. Данное видео не рекомендовано для просмотра несовершеннолетним пользователям"|"Для просмотра нажмите ""Мне уже есть 18 лет"", если вы старше 18 лет. В противном случае, воздержитесь от просмотра."
для автора|"Почему моему видео присвоили возрастное ограничение 18+? (появилась ошибка ""Видео 18+. Данное видео не рекомендовано для просмотра несовершеннолетним пользователям"")"|ля этого видео установлено возрастное ограничение 18+. Оно могло быть установлено вами при загрузке или добавлено нами после проверки. Если вы не согласны с ограничением, мы можем отправить видео на повторную проверку. Сообщите нам об этом, если хотите запросить повторную проверку.
любой пользователь|"Почему такая ошибка ""Видео недоступно по решению правообладателя или у вас включен vpn""/""Закончились права на показ этого видео или у вас включен vpn""?"|Возможно, у правообладателя нет прав на показ этого контента в вашем регионе. Также это может быть связано с использованием VPN, прокси или режима сбора данных, определяющих неверный регион. К сожалению, мы не можем повлиять на доступность контента в вашем регионе, так как это контролируется правообладателем.
для зрителя|"При просмотре видео появилась надпись ""Трансляция еще не началась"" "|Трансляция уже началась, но сигнал еще не поступил на RUTUBE или возникли технические проблемы. Пожалуйста, обновите страницу или попробуйте зайти позже.
для автора|"Почему зрители видят надпись ""Трансляция еще не началась"", хотя я запустил трансляцию?"|Трансляция запущена, но поток еще не передан на RUTUBE. Пожалуйста, проверьте настройки вашей программы для трансляции и убедитесь, что сигнал отправляется на платформу.
для зрителя|"При просмотре появилась надпись ""До начала трансляции осталось"""|Это обратный отсчет до начала трансляции. Она начнется автоматически, когда таймер дойдет до нуля.
для автора|"После того, как я выложил видео появилась надпись ""До начала трансляции осталось"", этот таймер запустится автоматически или мне нужно что-то нажать?"|"Сообщение с обратным отсчетом показывается перед началом запланированной трансляции и исчезнет автоматически. Если вы не запустите поток, зрители увидят сообщение ""Трансляция еще не началась""."
для зрителя|"При просмотре появилась надпись ""Трансляция закончилась. Скоро здесь будет запись"""|Трансляция завершена, и запись сейчас обрабатывается. Пожалуйста, подождите, скоро видео будет доступно для просмотра на RUTUBE.
для автора|"После загрузки выскакивает надпись ""Трансляция закончилась. Скоро здесь будет запись"", когда именно запись трансляции появится на моём канале? "|Трансляция завершена, и запись обрабатывается системой. Как только обработка закончится, видео появится на вашем канале и станет доступно зрителям.
В мобильном приложении|"Появилась надпись ""Вы можете посмотреть это видео только на rutube.ru"""|Некоторые видео временно недоступны в приложениях RUTUBE. Для их просмотра рекомендуем использовать веб-версию платформы: https://rutube.ru/ на компьютере или ноутбуке.
На эмбедированном видео|"Появилась надпись ""Вы можете посмотреть это видео только на rutube.ru"""|Возможность эмбедирования некоторых видео может быть ограничена. Рекомендуем вам продолжить просмотр на официальном сайте RUTUBE: https://rutube.ru/
любой пользователь|"Появилась надпись ""Вы можете посмотреть это видео только на rutube.ru"""|"Вы просмотрели все ролики в разделе ""Смотреть позже"": https://rutube.ru/my/future/. Теперь вам будут показаны другие рекомендованные видео."
